"dep","annee","tauxPatients","nombre_patients"
"01",2017,185.73,114500
"02",2017,198.12,106386
"03",2017,193.71,70599
"04",2017,200.37,34032
"05",2017,201.41,29840
"06",2017,204.77,233922
"07",2017,187.79,63466
"08",2017,199.64,55796
"09",2017,185.57,30002
"10",2017,181.56,56962
"11",2017,197.73,76416
"12",2017,180.46,54387
"13",2017,215.92,438973
"14",2017,185.31,129458
"15",2017,190.56,30331
"16",2017,178.7,66405
"17",2017,192.05,131517
"18",2017,179.38,58408
"19",2017,181.28,46956
"21",2017,188.65,101303
"22",2017,188.53,119174
"23",2017,189.93,25516
"24",2017,187.29,83598
"25",2017,178.55,95230
"26",2017,187.75,96160
"27",2017,190.36,112468
"28",2017,180.57,78657
"29",2017,191.24,177949
"2A",2017,194.17,30807
"2B",2017,191.93,35038
"30",2017,192.78,146029
"31",2017,200.03,257098
"32",2017,193.2,39839
"33",2017,206.28,318300
"34",2017,205.25,233210
"35",2017,171.89,174033
"36",2017,177.42,43055
"37",2017,183.8,113309
"38",2017,192.15,235224
"39",2017,184.22,49318
"40",2017,196.51,82622
"41",2017,176.51,61649
"42",2017,199.57,155038
"43",2017,195.84,46112
"44",2017,197.24,263937
"45",2017,181.15,122322
"46",2017,189.01,35949
"47",2017,192.65,68311
"48",2017,185.51,14912
"49",2017,190.57,153522
"50",2017,177.57,93019
"51",2017,187.7,105908
"52",2017,192.96,36298
"53",2017,180.34,56680
"54",2017,198.21,143735
"55",2017,205.79,40105
"56",2017,185.13,143129
"57",2017,190.49,198099
"58",2017,180.05,41612
"59",2017,213.26,535986
"60",2017,192.09,151603
"61",2017,189.6,57070
"62",2017,205.15,295519
"63",2017,183.91,121224
"64",2017,191.18,133581
"65",2017,192.48,46845
"66",2017,191.01,95074
"67",2017,197.16,215768
"68",2017,183.31,139130
"69",2017,193.7,343585
"70",2017,199.48,48352
"71",2017,189,111203
"72",2017,192.58,111353
"73",2017,187.29,80454
"74",2017,179.28,137328
"75",2017,177.02,376119
"76",2017,196.01,245608
"77",2017,187.99,244976
"78",2017,186.61,256447
"79",2017,185.25,71758
"80",2017,197.67,112110
"81",2017,190.87,78114
"82",2017,206.05,53672
"83",2017,212.25,234678
"84",2017,200.15,113704
"85",2017,192.9,132739
"86",2017,186.94,82897
"87",2017,178.73,70556
"88",2017,196.59,75417
"89",2017,189.84,67223
"90",2017,175.22,24996
"91",2017,190.19,231480
"92",2017,180.17,277826
"93",2017,192.51,286719
"94",2017,183.92,243031
"95",2017,193.16,221447
"971",2017,140.93,54073
"972",2017,155.48,58873
"973",2017,162.02,36106
"974",2017,184.13,139701
"976",2017,62.82,13846
"977",2017,132.05,1082
"978",2017,138.27,3931
"00",2017,189.78,12618827
"01",2018,185.76,115753
"02",2018,196.63,105207
"03",2018,193.11,69788
"04",2018,205.68,35069
"05",2018,206.77,30630
"06",2018,205.92,234909
"07",2018,189.25,64087
"08",2018,194.27,54005
"09",2018,186.6,30274
"10",2018,180.01,56341
"11",2018,197.96,76702
"12",2018,179.15,53738
"13",2018,217.3,442334
"14",2018,187.91,131273
"15",2018,194.89,30610
"16",2018,182.25,67516
"17",2018,192.11,131899
"18",2018,182.37,59031
"19",2018,183.33,47227
"21",2018,189.95,101901
"22",2018,189.43,119599
"23",2018,191.94,25444
"24",2018,189.56,84432
"25",2018,181.2,96942
"26",2018,187,96445
"27",2018,190.48,112870
"28",2018,181.16,78913
"29",2018,191.12,177933
"2A",2018,194.82,31160
"2B",2018,189.44,34975
"30",2018,193.59,147273
"31",2018,201.59,261851
"32",2018,195.05,39983
"33",2018,207.58,323879
"34",2018,205.76,236311
"35",2018,175.53,179100
"36",2018,182.63,43914
"37",2018,184.86,114061
"38",2018,194.17,238088
"39",2018,188.16,50459
"40",2018,197.7,83457
"41",2018,176.58,61443
"42",2018,204.27,158923
"43",2018,199.91,46971
"44",2018,197.2,266830
"45",2018,181.86,122825
"46",2018,192.25,36250
"47",2018,194.46,68670
"48",2018,181.64,14640
"49",2018,190.98,153898
"50",2018,181.33,94702
"51",2018,183.89,103513
"52",2018,192.71,35992
"53",2018,181.41,56781
"54",2018,200.03,145131
"55",2018,209.4,40554
"56",2018,185.29,143844
"57",2018,189.62,198080
"58",2018,182.22,41558
"59",2018,213.75,538134
"60",2018,190.89,151187
"61",2018,191.08,57219
"62",2018,206.25,296961
"63",2018,187.57,124154
"64",2018,192.68,135427
"65",2018,189.99,46254
"66",2018,191.96,96155
"67",2018,199.32,219862
"68",2018,183.69,139875
"69",2018,193.69,346062
"70",2018,197.51,47833
"71",2018,192.81,112995
"72",2018,195.4,112728
"73",2018,189.59,81830
"74",2018,180.73,139893
"75",2018,180.4,380271
"76",2018,197.49,247248
"77",2018,186.61,245033
"78",2018,186.53,257030
"79",2018,184.06,71015
"80",2018,196.02,111387
"81",2018,192.03,78364
"82",2018,200.3,52358
"83",2018,213.02,236806
"84",2018,201.01,114451
"85",2018,193.49,133893
"86",2018,189.08,83933
"87",2018,181.24,71208
"88",2018,199.15,75962
