Age,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y_LT1,2694,2736,2732,2771,2752,2819,2687,2774,2620,2546,2446,2329,2212,2125,2236,2252,2041,2140,2114
Y_1,488,431,518,549,515,540,496,506,457,474,429,428,398,362,405,360,366,420,290
Y_2,163,163,165,138,177,154,136,158,144,147,123,140,144,143,124,99,116,133,94
Y_3,101,118,121,98,104,130,108,97,100,96,84,92,79,80,90,83,77,68,65
Y_4,99,91,95,73,68,63,82,78,71,71,63,57,73,76,59,72,46,64,57
Y_5,89,86,66,58,61,72,74,64,66,60,50,65,57,46,48,51,63,66,46
Y_6,73,62,81,67,64,55,48,51,56,54,51,58,54,57,52,46,52,64,39
Y_7,73,65,73,61,37,60,65,45,45,42,43,44,47,50,41,40,43,48,42
Y_8,73,47,50,49,65,52,54,39,45,42,45,48,44,43,41,46,48,50,34
Y_9,65,63,63,46,57,59,56,54,59,45,48,42,50,50,54,41,39,39,44
Y_10,57,74,62,60,71,56,57,43,47,51,41,39,39,38,37,43,39,46,31
Y_11,66,67,59,73,58,57,52,48,51,52,40,35,44,41,42,46,45,62,35
Y_12,82,81,83,78,77,62,58,49,41,46,58,46,38,42,54,57,47,52,52
Y_13,83,101,98,89,77,90,68,49,77,54,51,44,49,53,50,58,54,62,62
Y_14,117,83,94,98,92,101,63,69,91,80,49,49,54,62,58,51,55,63,57
Y_15,129,107,113,113,109,113,79,94,94,81,71,62,75,76,69,58,59,66,59
Y_16,158,157,147,135,129,158,118,111,106,92,68,76,99,95,82,97,97,97,77
Y_17,223,173,209,199,207,219,145,153,133,125,122,91,99,108,112,116,111,121,99
Y_18,259,280,276,268,255,256,228,219,212,147,164,135,138,153,138,142,153,159,123
Y_19,324,295,292,271,317,280,219,238,218,174,191,164,181,198,170,176,178,210,154
Y_20,324,285,317,296,279,298,237,246,211,209,185,188,192,181,220,193,211,257,203
Y_21,291,287,333,274,317,299,236,248,236,198,218,199,204,207,212,187,233,244,199
Y_22,331,292,315,303,309,345,272,240,258,227,219,215,208,213,240,202,224,258,205
Y_23,300,326,353,342,302,292,251,262,263,230,224,210,238,244,241,228,215,259,207
Y_24,310,306,356,295,297,324,305,271,259,252,217,206,248,245,252,216,230,283,233
Y_25,348,310,353,308,343,315,281,272,286,261,239,272,243,278,288,275,249,301,247
Y_26,321,309,361,334,356,365,314,321,265,260,272,234,267,253,287,284,276,329,260
Y_27,363,329,356,324,368,338,306,308,317,286,228,267,304,280,313,275,286,337,286
Y_28,381,344,345,302,334,384,302,349,285,296,279,299,293,279,302,302,312,389,311
Y_29,444,460,409,325,365,389,351,390,340,312,318,278,348,316,329,341,369,397,307
Y_30,479,438,406,366,382,361,306,411,380,352,323,330,344,348,399,345,362,424,327
Y_31,522,486,477,465,407,417,384,377,409,386,349,352,368,347,374,355,383,486,397
Y_32,565,568,568,461,425,451,378,375,388,429,357,433,384,430,425,408,413,452,413
Y_33,576,558,582,556,487,513,432,446,386,381,439,377,389,429,492,470,430,518,481
Y_34,620,645,603,609,587,562,523,471,435,403,387,412,491,433,436,487,496,529,506
