Age,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y1-4,54,52,59,45,31,42,46,40,32,31,31,24,27,27
Y5-9,17,28,23,30,25,27,34,31,20,13,27,13,31,24
Y10-14,50,40,31,22,22,32,25,27,18,30,18,35,23,23
Y15-19,149,131,114,101,107,81,61,59,66,86,58,62,60,58
Y20-24,202,186,178,174,173,155,138,148,108,100,90,97,89,78
Y25-29,248,232,256,196,213,181,159,168,154,122,127,126,124,98
Y30-34,248,247,283,241,266,255,250,229,206,184,191,196,162,158
Y35-39,295,335,365,317,312,317,258,262,270,267,248,256,258,272
Y40-44,402,432,418,439,446,417,386,383,365,376,390,394,398,370
Y45-49,606,638,646,597,611,593,579,529,531,549,518,585,524,498
Y50-54,808,845,881,848,820,882,874,823,847,788,809,798,815,801
Y55-59,1261,1237,1235,1160,1182,1170,1187,1195,1205,1182,1125,1200,1231,1126
Y60-64,1683,1716,1743,1675,1765,1740,1671,1635,1582,1651,1596,1633,1669,1639
Y65-69,2033,2137,2081,2215,2182,2251,2322,2363,2308,2340,2248,2432,2268,2320
Y70-74,2941,2821,2809,2680,2712,2710,2815,2885,2991,3139,3115,3255,3360,3502
Y75-79,4017,3853,3846,3682,3777,3737,3715,3731,3863,3970,3956,3999,3929,4045
Y80-84,4974,4888,4880,4670,4602,4843,4847,4794,4877,5061,5013,5024,5013,5301
Y_OPEN,7899,8172,8285,8598,8948,9516,9892,9726,10459,10584,10670,10837,11036,11272
Y_LT1,230,284,247,271,262,237,245,224,225,194,188,174,167,153
