Age,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y_LT1,131,117,129,123,114,144,141,127,137,116,128,114,113,96,101,105,86,108,116
Y_1,18,18,37,26,24,33,19,18,28,24,15,20,13,11,15,11,20,14,10
Y_2,10,12,10,4,6,5,1,6,3,6,7,14,9,8,4,6,7,7,5
Y_3,6,2,4,4,4,5,6,4,4,3,4,3,6,4,5,4,5,6,3
Y_4,4,5,5,2,5,6,5,1,5,2,4,2,0,0,3,4,3,10,4
Y_5,4,2,6,1,2,8,3,3,5,3,1,3,0,2,2,2,4,4,1
Y_6,4,6,4,3,6,5,3,4,3,3,3,0,1,2,4,6,4,1,2
Y_7,2,7,5,3,0,3,2,2,2,1,1,2,3,3,3,2,7,6,3
Y_8,0,1,3,5,2,4,2,0,4,2,1,6,2,1,1,0,5,1,1
Y_9,3,2,3,1,5,3,4,3,1,4,2,1,2,7,5,1,3,2,1
Y_10,3,3,3,2,3,4,4,6,3,3,1,3,1,0,0,1,4,2,0
Y_11,0,5,5,2,1,6,3,3,4,2,0,1,3,2,3,1,2,6,9
Y_12,2,1,3,4,4,3,3,7,3,4,2,3,0,4,3,5,4,3,1
Y_13,7,4,3,4,5,3,3,1,5,3,7,8,3,2,2,2,3,6,3
Y_14,9,6,2,11,9,7,8,5,2,8,6,2,3,2,0,5,2,3,2
Y_15,6,5,12,3,8,8,4,6,5,3,3,6,4,1,1,5,3,7,3
Y_16,7,5,13,7,6,14,8,6,6,7,5,5,5,2,5,5,6,5,6
Y_17,13,10,15,12,18,8,6,12,5,8,6,8,7,6,8,8,4,2,4
Y_18,7,23,17,16,16,18,16,12,17,4,15,7,7,11,15,12,8,7,4
Y_19,26,11,19,27,21,22,7,20,10,21,12,12,7,13,14,11,13,16,12
Y_20,13,15,18,19,17,28,21,23,13,18,15,12,8,10,11,13,18,17,14
Y_21,20,20,25,14,27,18,16,17,22,17,18,25,10,13,10,11,8,19,22
Y_22,27,24,12,22,17,15,18,13,23,14,18,10,16,16,19,22,18,17,16
Y_23,18,25,15,21,22,18,16,18,16,12,22,16,12,18,12,11,21,11,17
Y_24,19,24,21,18,19,12,16,13,19,15,24,22,9,14,20,14,14,15,11
Y_25,11,20,14,17,16,17,22,7,18,17,19,19,19,13,25,19,17,18,7
Y_26,13,23,23,20,19,32,16,19,18,15,12,21,18,19,11,12,31,25,28
Y_27,15,15,23,18,24,30,23,22,14,17,22,19,15,18,15,22,15,24,14
Y_28,23,24,26,15,16,23,34,26,25,21,19,22,19,20,28,31,29,24,18
Y_29,26,27,27,14,25,19,19,24,16,20,26,23,15,24,20,31,22,28,22
Y_30,27,35,18,31,34,21,16,23,29,16,18,27,20,24,29,25,21,20,14
Y_31,34,28,35,29,26,35,22,24,26,26,22,32,18,18,30,29,25,36,19
Y_32,25,36,27,44,21,32,22,24,19,29,42,25,17,23,26,28,21,28,32
Y_33,41,29,32,31,31,35,27,18,30,19,33,33,23,28,33,31,27,37,27
Y_34,37,46,35,38,22,32,34,32,43,22,33,36,36,25,26,34,36,22,39
Y_35,34,29,48,39,36,51,34,26,26,25,30,30,30,37,37,22,42,42,32
Y_36,41,46,33,31,34,47,30,41,33,39,30,18,26,33,38,38,29,35,34
Y_37,52,40,55,48,53,39,43,40,44,42,28,28,19,33,37,36,39,42,37
Y_38,44,43,48,45,30,48,37,46,40,36,51,43,35,27,45,46,44,45,48
Y_39,52,52,47,68,50,41,56,48,36,58,41,53,38,40,59,48,56,50,44
Y_40,54,63,58,54,50,66,58,44,48,44,58,45,42,50,56,25,44,57,52
Y_41,56,62,56,61,51,61,67,64,66,51,64,61,57,47,61,45,50,53,50
Y_42,59,58,59,69,74,90,65,60,69,79,59,57,43,69,60,56,70,40,40
Y_43,72,83,52,77,63,71,75,85,67,58,68,72,65,72,50,70,60,53,46
Y_44,66,66,87,66,83,81,75,75,84,68,68,71,58,63,66,65,72,62,71
Y_45,66,65,79,86,91,93,81,91,76,81,101,82,64,86,73,89,69,75,69
Y_46,73,72,87,107,83,80,86,98,91,99,80,88,94,87,83,83,102,97,106
Y_47,94,109,116,98,97,99,96,103,100,104,104,104,83,86,104,89,113,97,98
Y_48,98,110,119,92,110,97,84,109,98,122,103,105,92,92,104,97,106,117,93
Y_49,124,135,92,101,106,129,115,108,105,104,119,109,105,117,128,106,104,94,120
Y_50,114,125,114,120,118,109,112,126,115,132,128,124,121,117,127,109,135,138,143
Y_51,126,161,152,131,128,121,141,118,117,114,138,118,130,145,148,128,147,134,145
Y_52,125,151,143,133,124,139,127,163,156,140,135,110,127,159,141,159,143,128,157
Y_53,153,183,156,163,156,176,134,142,142,141,142,155,161,156,150,152,165,169,167
Y_54,190,199,187,152,146,166,159,146,146,167,148,151,158,163,180,178,178,163,169
Y_55,243,227,184,189,214,186,193,187,170,170,157,173,155,181,209,162,185,223,221
Y_56,168,256,232,234,237,194,161,196,163,184,182,205,173,180,220,183,202,235,213
Y_57,251,235,263,254,226,233,209,211,172,186,168,223,194,206,221,210,246,242,230
Y_58,196,268,246,278,283,253,221,231,206,191,214,212,200,202,224,246,224,262,276
Y_59,259,277,282,272,315,298,285,262,250,241,212,220,229,227,236,228,249,249,292
Y_60,279,300,289,292,258,309,307,318,292,258,259,232,247,273,258,290,286,262,298
Y_61,251,303,310,301,302,275,359,333,298,296,274,278,277,284,276,263,258,305,313
Y_62,307,317,312,348,330,342,317,384,358,330,324,309,292,304,317,284,290,320,313
Y_63,337,356,340,351,397,380,376,361,427,357,360,349,331,349,355,353,343,330,360
Y_64,402,340,359,348,328,354,360,381,362,415,417,356,386,339,368,385,321,328,415
Y_65,396,457,417,393,358,408,409,389,407,363,403,450,413,393,382,363,387,367,392
Y_66,441,447,445,429,381,379,429,440,423,412,420,478,435,486,457,466,438,444,429
Y_67,496,484,460,476,427,453,407,430,438,495,434,449,528,530,499,442,466,461,460
Y_68,487,510,501,485,507,513,464,486,426,478,452,484,447,590,571,518,544,470,473
Y_69,550,506,533,496,476,524,521,497,452,469,506,570,492,515,597,590,561,525,557
Y_70,589,592,571,534,516,518,511,491,489,505,534,526,525,535,589,693,711,634,647
Y_71,699,603,604,624,584,594,600,614,524,571,528,558,576,665,613,605,747,679,701
