numSemaineDepuis2013;vaccins_grippe
146;315263.3333
147;315263.3333
148;315263.3333
149;1158727.25
150;1158727.25
151;1158727.25
152;1158727.25
153;340926
154;340926
155;340926
156;340926
157;0
158;114633
197;967398
198;967398
199;967398
200;967398
201;596354
202;596354
203;596354
204;596354
205;596354
206;167291.75
207;167291.75
208;167291.75
209;167291.75
210;150785
249;975312.25
250;975312.25
251;975312.25
252;975312.25
253;633643.2
254;633643.2
255;633643.2
256;633643.2
257;633643.2
258;174451
259;174451
260;174451
261;174451
262;137179
303;1327637
304;1327637
305;1327637
306;952889.25
307;952889.25
308;952889.25
309;952889.25
310;150429.5
311;150429.5
312;150429.5
313;150429.5
314;54681
355;1178547.667
356;1178547.667
357;1178547.667
358;1112333
359;1112333
360;1112333
361;1112333
362;244813.25
363;244813.25
364;244813.25
365;244813.25
366;184907
407;2240275.667
408;2240275.667
409;2240275.667
410;778012.25
411;778012.25
412;778012.25
413;778012.25
414;132944.6
415;132944.6
416;132944.6
417;132944.6
418;132944.6
419;129060
420;129060
