Nom_vaccin;01-01-15;01-02-15;01-03-15;01-04-15;01-05-15;01-06-15;01-07-15;01-08-15;01-09-15;01-10-15;01-11-15;01-12-15;01-01-16;01-02-16;01-03-16;01-04-16;01-05-16;01-06-16;01-07-16;01-08-16;01-09-16;01-10-16;01-11-16;01-12-16;01-01-17;01-02-17;01-03-17;01-04-17;01-05-17;01-06-17;01-07-17;01-08-17;01-09-17;01-10-17;01-11-17;01-12-17;01-01-18;01-02-18;01-03-18;01-04-18;01-05-18;01-06-18;01-07-18;01-08-18;01-09-18;01-10-18;01-11-18;01-12-18;01-01-19;01-02-19;01-03-19;01-04-19;01-05-19;01-06-19;01-07-19;01-08-19;01-09-19;01-10-19;01-11-19;01-12-19;01-01-20;01-02-20;01-03-20;01-04-20;01-05-20;01-06-20;01-07-20;01-08-20;01-09-20;01-10-20;01-11-20;01-12-20;01-01-21;01-02-21;01-03-21;01-04-21;01-05-21;01-06-21;01-07-21;01-08-21;01-09-21;01-10-21;01-11-21;01-12-21;01-01-22;01-02-22;01-03-22;01-04-22;01-05-22;01-06-22;01-07-22;01-08-22;01-09-22;01-10-22;01-11-22;01-12-22;01-01-23;01-02-23;01-03-23;01-04-23;01-05-23;01-06-23;01-07-23;01-08-23;01-09-23;01-10-23;01-11-23;01-12-23;01-01-24;01-02-24;01-03-24;01-04-24;01-05-24;01-06-24
ACT HIB;1933;944;2199;1938;1504;1565;975;935;1247;1318;1174;963;732;764;813;657;753;791;680;608;776;890;826;697;737;662;714;532;650;636;386;535;691;804;735;699;669;603;614;484;568;623;653;550;699;1007;818;692;702;571;689;664;604;628;613;507;624;743;481;696;711;691;788;392;440;672;678;465;786;868;689;627;519;490;499;412;409;502;504;487;539;631;594;557;596;554;642;559;643;597;566;519;616;689;659;704;731;704;717;644;640;699;633;593;706;812;725;719;786;757;787;786;693;708
AGRIPPAL;486;104;101;14;3;6;0;4;1;1570;6584;1391;86;29;9;2;2;0;0;1;1;1;0;3;;;;;;;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AVAXIM;1079;2044;2976;3389;3291;6276;7553;4238;4342;1916;821;542;279;397;410;173;97;88;71;48;46;49;49;39;43;34;27;19;17;18;17;12;31;357;614;680;1137;1098;1093;944;1432;2306;2705;1280;1203;1245;1061;943;2365;3019;2332;2699;3026;4586;4544;1213;1765;1930;1425;1902;2375;1908;1090;288;591;979;944;533;760;696;472;511;466;430;462;392;393;644;522;282;413;437;439;361;375;403;487;439;654;2022;2335;590;1239;1631;1925;1493;2855;2341;1918;1923;2595;1888;1594;1487;2764;4629;3876;2858;4029;2295;1986;1729;1445;2731
BEXSERO;2096;2625;2938;2726;2437;3164;2388;1691;3722;3144;2918;2862;2466;2664;2782;2416;2421;3076;2541;2035;3992;3636;3358;3265;3897;3320;4275;3466;5995;6289;5465;3611;5857;6548;5536;4705;5639;5372;5984;5562;5896;6417;6103;4397;7254;8057;7180;6451;7515;6539;7560;8515;8748;8867;9261;6625;11368;11473;9828;10018;10807;9844;10007;7098;9434;11828;11107;7663;13901;13354;13327;13063;13678;13454;16127;15084;13954;16898;14756;12111;19872;20434;21564;21644;23691;23257;28824;24853;51351;79421;90134;97651;149948;141769;143427;139575;160870;142671;167287;136493;150255;156177;138367;123593;162927;167723;154318;141306;157014;145467;148732;149034;146177;144455
BOOSTRIXTETRA;39222;47258;39477;99174;131702;171199;93845;47090;87613;141692;65478;45982;87829;95909;97253;83045;86419;109238;104889;145235;247342;203234;172579;115609;115717;87481;89633;51164;52040;81828;83315;90063;152846;127892;93836;74784;86694;90109;92908;85742;87955;111369;102077;80248;124029;121146;89984;75492;91166;82322;86949;91158;91751;98092;102097;79708;123132;116748;82746;76779;79952;81597;63706;29402;50353;93989;90242;71366;116445;97968;72275;68592;64161;66793;76048;68689;60572;82836;71810;63803;92289;83038;74208;63257;55541;59046;75089;63995;79670;88405;77583;75359;109393;94331;80285;75126;78794;78103;88007;73759;82711;94400;44860;25054;15656;65325;67888;59890;67651;70059;69461;75428;77498;101569
CERVARIX;6761;7009;7873;7685;6340;8316;6505;5604;11292;9284;6934;6642;5567;6408;6883;6401;6112;6589;5440;5167;9179;7452;6229;5593;5210;5303;5978;5021;5228;5527;4791;4642;7934;7874;5960;4821;5655;4077;5424;5584;4676;5331;5057;4613;6707;6326;4557;3184;3378;2861;3216;3025;2705;2848;3002;2460;3589;3304;2368;2186;2069;2123;1695;829;1291;2151;1915;1532;2307;1941;1438;1454;1382;1508;1824;1719;1375;1670;1213;953;1548;1458;1375;1192;977;881;1059;939;994;962;850;846;1489;1260;1056;739;896;786;991;733;600;543;416;523;752;854;546;390;365;363;360;424;330;397
DT POLIO MERIEUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;0;0;0;0;44746;43046;50101;45072;38966;46759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFLUELDA ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;11;26147;428182;71890;12205;5816;1945;388;238;197;112;129;143;493059;556514;81855;16681;3262;1234;361;151;323;149;69;84;902175;1065851;153940;26176;4079;938;325;189;96
ENGERIX B;38065;37552;42618;38236;33831;47025;48601;39183;53447;45704;39785;37769;34729;37954;38423;35492;35705;40229;43751;35582;48729;46670;44424;33322;20517;11135;7527;4195;4008;3835;3801;5944;7035;4817;2970;2429;2606;2766;21003;39989;43991;52262;63048;53098;61348;65795;55445;48643;47904;38283;44942;49410;50496;61803;73613;58584;71762;71643;56346;57124;57858;56598;49150;23975;31815;56104;66677;56387;68603;58681;48552;49512;0;0;1;0;0;0;49094;46785;55886;50572;45696;41712;34558;36120;44854;37650;44499;47091;52900;57517;62424;51296;44783;34076;38362;42692;50999;41756;45599;52110;58609;54658;51772;52661;45717;39857;46796;45002;45299;47621;44383;48720
FLUARIX;1027;298;155;198;70;387;51;27;22;8465;81309;16535;1801;735;348;116;70;44;27;31;32;32;22;17;27;10;41;2;4;23;2;1;6;11;0;1;0;1;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;2;1;0;0;0;0;;;;;;;1;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
