DR19;annee;0-4ansH;0-4ansF;5-9ansH;5-9ansF;10-14ansH;10-14ansF;15-19ansH;15-19ansF;20-24ansH;20-24ansF;25-29ansH;25-29ansF;30-34ansH;30-34ansF;35-39ansH;35-39ansF;40-44ansH;40-44ansF;45-49ansH;45-49ansF;50-54ansH;50-54ansF;55-59ansH;55-59ansF;60-64ansH;60-64ansF;65-69ansH;65-69ansF;70-74ansH;70-74ansF;75-79ansH;75-79ansF;80-84ansH;80-84ansF;85-89ansH;85-89ansF;90-94ansH;90-94ansF;95+H;95+F;Y_LT5;Y5-9;Y10-14;Y15-19;Y20-24;Y25-29;Y30-34;Y35-39;Y40-44;Y45-49;Y50-54;Y55-59;Y60-64;Y65-69;Y70-74;Y75-79;Y80-84;Y85-89;YGE90
1;2007;19638,1585;19038,9891;20256,13223;19514,26659;20214,28437;19220,44945;18796,33061;17309,3227;15576,65047;14462,56883;16424,73781;16720,90234;19067,07579;19202,70917;22652,96911;22314,67805;22273,97179;22114,18945;20925,65009;20798,65204;18755,35494;19547,85174;18962,39936;18623,51137;14230,35642;14298,91214;10525,26029;10630,23237;9219,518881;10832,98338;7448,760503;9824,285775;5206,899965;8683,019203;2188,781719;4481,364496;625,7659655;2194,885638;150,1944448;900,2361813;38677,1476;39770,39882;39434,73382;36105,65331;30039,2193;33145,64015;38269,78496;44967,64716;44388,16124;41724,30213;38303,20668;37585,91073;28529,26856;21155,49266;20052,50226;17273,04628;13889,91917;6670,146215;3871,08223
2;2007;17982,31221;17030,21613;18567,95663;17472,54482;17821,99816;16980,41391;18185,30815;17422,43962;15453,30296;14536,26457;15255,6364;15387,08934;16459,61941;17023,30287;18045,90276;18440,56829;18983,12144;19067,2244;18614,09204;18900,95944;19031,76917;19293,60119;18741,71935;18876,72866;12348,12967;12909,99392;9904,665228;11302,00757;9154,878504;12319,86739;8113,372231;12418,01904;5407,604934;9660,909363;2235,364037;4729,518816;515,4435496;1795,117905;92,69170981;746,1892817;35012,52834;36040,50145;34802,41207;35607,74777;29989,56753;30642,72574;33482,92228;36486,47105;38050,34584;37515,05148;38325,37036;37618,44801;25258,12359;21206,6728;21474,74589;20531,39127;15068,5143;6964,882853;3149,442446
3;2007;8453,702743;8118,747185;9148,314583;8989,638589;9162,091163;8791,640153;9668,892641;9123,241058;8261,482419;7860,215872;8318,082595;8073,522506;9494,826283;9703,717295;10921,24066;10872,04462;11548,38009;11737,74045;11938,41055;11887,49877;12476,22595;12897,09833;12460,12988;13061,44685;9869,165927;10530,17147;8164,018893;9214,616627;8324,540445;10676,78964;7251,410973;10727,39371;5436,21305;8829,978468;2159,647103;4545,653297;770,6242319;2087,739508;241,171255;950,3667233;16572,44993;18137,95317;17953,73132;18792,1337;16121,69829;16391,6051;19198,54358;21793,28528;23286,12054;23825,90932;25373,32428;25521,57673;20399,3374;17378,63552;19001,33009;17978,80468;14266,19152;6705,3004;4049,901718
4;2007;4167,060259;3986,828312;4639,068451;4170,608808;4891,390316;4883,56258;4892,306382;4341,958873;3423,95007;3507,981222;3427,233576;3740,825488;3973,301775;4262,581904;4891,797735;5242,38711;5458,69216;5941,003944;5974,351737;5844,246752;5309,185593;5288,052542;5338,572171;5657,426318;4722,920096;5074,647982;4088,535616;4637,400258;3732,982374;4252,198261;3072,405514;3824,089051;2085,549006;3217,99957;929,5012948;1849,06902;329,0916304;756,8245722;64,8973236;316,3946564;8153,888571;8809,677259;9774,952896;9234,265255;6931,931292;7168,059064;8235,883679;10134,18485;11399,6961;11818,59849;10597,23814;10995,99849;9797,568078;8725,935874;7985,180635;6896,494565;5303,548576;2778,570315;1467,208183
5;2007;3457,665867;3636,668431;4197,232235;3838,431841;4184,599691;4136,622081;4049,082671;3684,672854;3156,247086;2947,439119;3254,579316;3398,884692;3897,165266;3868,095037;4713,24147;4695,950055;4799,162032;4923,406453;5045,543126;5088,79826;4639,177011;4461,806663;4501,722126;4678,698863;3779,698527;3871,488604;2963,039654;3330,946044;2915,880808;3256,236285;2242,967206;2942,14348;1801,030803;2683,467743;669,7000778;1436,514273;262,5594669;758,5589251;84,0360454;271,3611916;7094,334298;8035,664076;8321,221772;7733,755525;6103,686205;6653,464008;7765,260303;9409,191525;9722,568485;10134,34139;9100,983674;9180,420989;7651,187131;6293,985698;6172,117093;5185,110686;4484,498546;2106,214351;1376,515629
6;2007;28397,06921;27520,66676;29955,58238;28323,90065;31327,71391;29643,88192;33569,44654;30748,75115;29804,95916;29282,96893;28312,10409;29417,22027;31378,31763;34135,89965;35221,90449;38066,31532;37506,81126;40636,96075;34811,01062;37537,89839;32947,09378;36644,73606;33528,62581;37955,78248;29378,52002;34269,91292;25614,84897;29310,66195;23209,17526;29651,75778;20454,96582;29183,01389;14775,71927;25630,40658;7057,135106;14372,35451;2526,365097;6917,045143;603,7769009;2767,64402;55917,73597;58279,48303;60971,59583;64318,19769;59087,92809;57729,32436;65514,21728;73288,21981;78143,77201;72348,90901;69591,82984;71484,40829;63648,43294;54925,51092;52860,93304;49637,97971;40406,12585;21429,48962;12814,83116
7;2007;9084,206657;8581,191579;9376,664628;8954,609828;9167,800265;8886,340031;9161,908418;8624,411678;7328,741373;6418,257935;7525,395375;7694,119022;9170,232885;9068,930931;10113,56096;10339,33697;11332,05832;11524,57779;10909,97684;10601,31441;10703,29823;10480,33026;11314,67023;11544,73669;9115,567043;9465,058484;7291,64557;7731,79403;6798,240921;7815,964859;5692,517847;7699,820515;4137,531233;6663,822693;1790,116109;3706,647329;551,3922665;1835,338815;140,8172654;767,2730958;17665,39824;18331,27446;18054,1403;17786,3201;13746,99931;15219,5144;18239,16382;20452,89793;22856,63611;21511,29125;21183,62849;22859,40692;18580,62553;15023,4396;14614,20578;13392,33836;10801,35393;5496,763438;3294,821443
8;2007;9111,702816;8411,440422;9420,340476;9083,17369;9399,74969;8873,725285;9937,98264;8734,230139;8058,418776;7612,220488;8078,584412;7825,49101;8789,267777;8851,124607;9832,874266;9921,486437;10398,71157;10264,57135;10391,29689;10159,96138;10135,05101;10272,93681;9812,804557;9658,537027;6676,931588;6922,462948;5637,10526;6429,270707;5450,278849;6797,512534;4402,581675;6567,168876;2935,434658;5198,87282;1020,375558;2244,73705;288,1331062;942,6682872;83,35334336;372,8999494;17523,14324;18503,51417;18273,47498;18672,21278;15670,63926;15904,07542;17640,39238;19754,3607;20663,28292;20551,25827;20407,98782;19471,34158;13599,39454;12066,37597;12247,79138;10969,75055;8134,307478;3265,112608;1687,054686
9;2007;3940,758345;3760,969368;4179,872055;3965,095564;4022,232524;3959,03243;4196,347302;3908,138037;3581,629019;3085,801275;3412,335794;3668,395662;3949,277333;4351,855174;4889,297107;4711,532483;5092,469803;5230,066663;5304,111642;5516,509056;5517,759193;5364,403269;5393,056889;5148,319549;4289,269675;4446,584499;3565,746802;3797,106918;3645,621921;4500,992403;3479,276805;4127,257381;2345,985606;3498,679698;1032,730768;1770,28893;390,7583024;860,6438514;80,81844599;285,7846019;7701,727713;8144,967619;7981,264954;8104,485339;6667,430294;7080,731456;8301,132507;9600,82959;10322,53647;10820,6207;10882,16246;10541,37644;8735,854174;7362,85372;8146,614324;7606,534186;5844,665304;2803,019698;1618,005202
10;2007;9216,315169;8903,22373;8836,621068;8819,2646;9462,080673;9204,318109;10277,88979;9490,896212;9277,03453;8295,54484;8307,87716;8540,993773;9535,217398;9592,844322;10183,50841;10266,78916;10387,44213;10625,81805;10515,33791;10576,18827;10219,4149;10608,26446;10553,38886;10790,75171;7582,910633;7671,98732;6003,860262;6977,111856;5658,901299;7132,497493;4535,558519;6748,502865;3275,061632;5564,937416;1519,784762;3022,117061;431,2542616;1423,46408;137,9057702;615,2721614;18119,5389;17655,88567;18666,39878;19768,786;17572,57937;16848,87093;19128,06172;20450,29757;21013,26018;21091,52618;20827,67936;21344,14057;15254,89795;12980,97212;12791,39879;11284,06138;8839,999048;4541,901823;2607,896273
