Age,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y_LT1,557502,559072,575898,597087,606776,622805,642603,667840,662806,672051,679102,696441,676531,664183,662977,669103,653467,637834,618858,601913
Y_1,572104,559188,559670,575093,596809,606029,625519,642968,667271,661491,669858,684026,701281,682703,670993,669817,674807,659890,644056,625476
Y_2,586546,574416,561672,560054,575954,596170,606917,628030,643986,667806,661891,674386,688777,707024,688932,677469,675045,681032,665596,650226
Y_3,596281,589440,577061,563931,561503,576028,596871,607109,630621,645584,669484,665744,678113,694107,712587,694761,682356,680758,686135,671016
Y_4,611406,599405,592909,579825,566945,562083,577110,596758,607221,633562,648411,672759,669428,682940,699191,717896,699250,687213,684992,690816
Y_5,607008,614820,603012,596528,581227,568461,563399,577429,597452,608246,635925,651473,676035,673956,687611,703755,721708,703391,691122,689190
Y_6,608881,610238,618423,606000,598226,582924,571289,564338,578513,598113,608280,638419,654334,679645,677724,691506,707075,725210,706742,694734
Y_7,623653,611499,614219,621878,607633,600295,586109,574056,566002,579655,597679,610955,641065,657784,683397,681478,694480,710174,727938,709940
Y_8,630796,626939,614737,617893,623497,609683,603863,589158,577340,567722,579791,600238,613614,644277,661182,686819,684370,697777,712204,730548
Y_9,650450,632843,630410,617567,620142,625740,612837,607073,592465,580615,568460,582497,602871,616703,647549,664708,689769,687314,700200,715046
Y_10,660955,652912,635470,632425,620214,623261,629615,615251,610274,596097,583192,571373,585128,605945,620073,651144,667818,693071,689733,703087
Y_11,650382,663404,655147,636571,635666,622895,627118,632265,618336,614236,599021,586219,574278,588343,609790,623877,654366,671108,695753,692873
Y_12,642727,650721,665542,655097,638363,638428,626071,629903,635554,622005,617326,601871,589178,577811,592130,613777,627407,658113,673789,698821
Y_13,650171,642301,651555,665401,656325,640160,642238,628463,633426,639481,625128,620278,604563,592716,581609,595930,616975,630959,660928,676773
Y_14,633826,648646,642784,649740,666445,657231,642426,644860,631249,637420,642744,628130,623246,608240,596693,585526,599472,620868,634043,664025
Y_15,625706,632470,650495,644054,652454,670744,661568,647366,651381,636708,643838,645417,630796,627179,612676,601534,589606,603746,624590,637756
Y_16,629729,626288,634417,652594,647480,655753,676298,667013,653819,658326,643625,646317,647865,634876,631635,617703,605724,593955,607496,628023
Y_17,607690,630897,630318,636158,655938,651137,660933,682497,673880,660308,666996,646767,649348,653269,641107,638474,623262,612205,599393,613025
Y_18,593746,611942,637983,636682,642597,661906,659283,669058,693106,682632,671694,670895,650210,655753,661031,648918,645133,630236,618873,606611
Y_19,588129,602402,622459,649084,649820,651489,674484,671235,682829,705157,698117,676910,676533,659877,666840,672781,657005,656433,639880,630456
Y_20,612518,596031,608883,630928,660529,660461,661604,682677,675117,695081,719878,705163,685020,688589,673761,680387,683225,669694,668129,653155
Y_21,616613,623727,607081,624523,648643,676690,676793,673354,689349,691930,713864,728804,712611,696363,701685,685748,689511,694390,679576,679487
Y_22,599160,631273,636193,627661,649227,669005,696334,692690,680751,709439,714692,725244,738885,725657,712095,715536,696484,703885,706968,694216
Y_23,576893,614417,645179,656866,653305,672195,689366,711948,700960,699184,730305,725112,735438,751543,740862,726123,725250,710202,715442,720400
Y_24,581400,590051,628006,666626,682023,676996,695019,704736,719890,719904,717522,737228,731784,744265,763854,752162,731671,734483,717748,725264
Y_25,603724,592793,600961,641493,687077,695307,694018,706740,707422,727356,730255,723675,743135,739681,754595,773554,757328,739076,740656,725111
Y_26,630571,613740,603217,611604,660636,700762,711238,706571,712010,714706,736817,734767,729067,750246,749216,763613,777368,762933,742735,745909
Y_27,654561,639044,622938,612991,627065,673249,716409,722727,712828,721095,723383,740472,739435,734985,759356,757456,766804,781262,765411,747190
Y_28,696247,662416,647392,632020,628017,637635,688237,728572,728405,723034,732154,726009,743968,744417,742544,767042,760183,769510,782363,768513
Y_29,735365,702910,669860,655221,645467,637572,649216,699436,735033,737413,734618,734654,729727,749053,752257,749922,769941,763143,770244,784770
Y_30,756225,737388,705708,671763,663500,652469,640284,658120,706521,739813,741904,735633,737246,733085,754383,757634,750908,771626,762666,771964
Y_31,750268,758547,739403,707659,678563,668962,654716,647908,662684,710894,745069,742920,737807,740124,737768,758621,758385,752425,771667,764738
