Age,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01
Y_1,48574,49596,51180,53312,53992,54323,55362,54628,60800,61348,60454,61027,66085,71068,71639,72593,71535,71785,67658,66275,63955,62279,64302,61939,61481,58465
Y_2,49011,49036,50219,51972,54389,55448,56347,55700,54349,59939,60702,60855,61905,66742,71441,72506,71680,70638,70776,66962,66260,63989,62624,64620,62048,61576
Y_3,50563,49689,49512,51173,52905,55621,56141,56413,55199,56638,60471,61205,61546,62122,66540,71394,71725,71057,69914,71010,68120,66285,64271,62862,64727,62168
Y_4,53392,51216,50156,49977,51243,52747,55281,57136,58750,57552,59636,61072,62076,61721,62417,67094,70531,70956,70075,69525,70834,68104,66570,64431,62911,64861
Y_5,55163,53881,52093,51432,51185,53028,54545,56399,57191,58203,58197,60712,62641,63272,63416,64706,67299,71923,72958,72892,72359,70832,68325,66823,64504,63064
Y_6,55193,55495,54184,52135,51394,50707,52537,54920,56597,57153,58245,59548,62194,63565,64343,64754,65031,66561,71172,72337,72463,72291,71086,68547,66894,64654
Y_7,54948,55676,56103,54863,53040,52469,52012,52884,55399,56899,58452,59410,60583,62373,63493,64211,64954,65092,67412,71109,72066,72446,72526,71296,68635,66964
Y_8,57311,55202,55715,55895,54353,52358,51696,52330,52588,54868,57161,59495,60466,60926,62497,63581,64345,65035,65353,67709,71458,72056,72611,72772,71328,68808
Y_9,60328,57675,55710,56244,56730,55155,53300,52126,53153,53490,56480,58069,60354,60545,60863,62386,63703,64418,65207,65285,66904,71484,72303,72819,72783,71503
Y_10,61418,60651,57719,56119,56577,56988,55636,53936,52316,53429,54532,57276,58944,60648,60784,61181,62349,63531,63957,64665,64701,66888,71670,72486,72881,72911
Y_11,62310,61718,60910,57927,56451,56922,57294,56110,54096,52627,53866,55078,57947,59130,60504,60587,61157,62233,63289,63667,63964,64734,67151,71879,72539,72989
Y_12,64687,62541,61724,60986,57873,56266,56627,57773,56432,54742,53571,54373,55997,58459,59500,60926,60518,61009,61999,63200,64211,64011,65007,67380,71913,72627
Y_13,67918,64848,62547,61968,61226,58223,56677,56801,58091,56376,55102,54074,55291,56543,58690,59683,60873,60321,60720,61939,63369,64245,64294,65232,67401,72018
Y_14,69754,68267,65422,63241,63012,62205,59474,57068,57247,59164,57108,55673,54967,55693,56631,58662,59643,60767,60091,60970,62611,63430,64463,64442,65282,67465
Y_15,71732,69766,67982,64828,62450,61998,60882,59562,56676,56558,58292,57890,56833,55775,56080,56726,58385,59555,60993,60593,61124,62936,64373,64856,64821,65534
