Age,1971-01-01,1972-01-01,1973-01-01,1974-01-01,1975-01-01,1976-01-01,1977-01-01,1978-01-01,1979-01-01,1980-01-01,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01
Y_LT1,31371,30508,29256,28103,26703,25979,25960,25893,26812,27707,27249,26753,26790,26832,27373,27601,27764,27368,26348,25930,25898,25673,24626,24308,23831,23668,24428,23574,23231,22248,21541,21297,21290,21946,22525,22693,23823,25237,25249,24964,25364,25307,24631,24255,24249,24486,23686,23156,22721,21948,
Y_1,31389,30765,29794,28816,27696,26383,25678,25661,25706,26646,27870,27146,26608,26662,26753,27172,27368,27503,27120,26226,25992,25989,25681,24593,24380,24031,23731,24432,23622,23202,22227,21444,21206,21153,22062,22671,22983,24108,25443,25486,25166,25505,25573,24835,24485,24498,24733,23970,23408,22844,
Y_2,31578,30876,30132,29410,28492,27435,26139,25457,25528,25598,26827,27702,27104,26531,26568,26740,26988,27130,27262,26918,26257,25990,26096,25729,24614,24559,24101,23807,24349,23620,23378,22334,21556,21352,21354,22243,22789,23176,24240,25579,25600,25230,25545,25730,25018,24656,24651,24917,24206,23523,
Y_3,31835,31077,30254,29763,29091,28240,27202,25923,25330,25430,25746,26605,27604,27070,26421,26477,26647,26737,26883,27031,26807,26345,26027,26119,25707,24745,24550,24121,23862,24331,23441,23456,22405,21622,21471,21555,22362,22892,23228,24288,25600,25645,25244,25612,25855,25155,24718,24780,25074,24288,
Y_4,31605,31339,30461,29901,29454,28847,28018,26990,25799,25230,25099,25555,26480,27526,27019,26312,26328,26504,26511,26671,26923,26848,26412,26002,26116,25869,24803,24508,24128,23929,24311,23557,23514,22476,21756,21642,21757,22442,22794,23273,24364,25637,25680,25349,25709,25974,25213,24913,24960,25133,
Y_5,32476,31369,30988,30276,29721,29316,28707,27871,26900,25739,25103,24973,25498,26421,27474,27025,26207,26199,26433,26360,26617,26968,26864,26395,26008,26200,25838,24815,24459,24099,23655,24294,23602,23528,22629,21873,21784,21878,22390,22710,23211,24328,25601,25692,25414,25781,26062,25299,24998,24957,
Y_6,33161,32248,31024,30812,30104,29532,29181,28564,27737,26848,25624,24914,24831,25351,26247,27326,26871,25953,25978,26284,26204,26746,27050,26837,26380,26100,26215,25832,24862,24408,24116,23695,24312,23603,23617,22756,21991,21852,21839,22372,22581,23200,24360,25658,25729,25462,25885,26150,25373,25015,
Y_7,32509,32930,31896,30841,30632,29966,29395,29034,28471,27679,26745,25497,24879,24795,25287,26171,27236,26789,25824,25879,26305,26329,26774,27063,26848,26482,26109,26202,25731,24846,24388,24150,23742,24357,23754,23729,22893,22106,21895,21856,22326,22608,23239,24450,25752,25809,25559,25961,26274,25415,
Y_8,31330,32283,32582,31722,30666,30491,29825,29249,28938,28420,27603,26561,25424,24853,24743,25227,26053,27112,26716,25709,25842,26346,26466,26804,27079,26911,26475,26129,26171,25666,24706,24450,24196,23810,24383,23872,23873,22980,22139,21908,21814,22347,22656,23344,24536,25830,25892,25695,26099,26348,
Y_9,30222,31097,31932,32408,31545,30524,30355,29686,29157,28886,28355,27438,26452,25390,24845,24728,25160,25937,27033,26687,25694,25948,26348,26510,26879,27160,26897,26477,26055,26166,25779,24714,24509,24252,23935,24453,24010,23922,23017,22123,21889,21828,22389,22706,23393,24643,25899,26010,25802,26139,
Y_10,29219,30145,30911,31865,32308,31473,30444,30253,29591,29131,28954,28013,27366,26393,25384,24876,24711,25114,25875,27008,26757,25772,26071,26374,26618,26985,27150,26930,26400,26035,26083,25700,24719,24571,24333,24071,24569,24173,23975,23022,22139,21939,21841,22481,22775,23470,24708,26010,26127,25841,
Y_11,28210,29142,29963,30841,31766,32233,31391,30342,30162,29567,29205,28689,27720,27297,26313,25372,24874,24675,25071,25812,27007,26737,25916,26183,26389,26790,27038,27178,26914,26380,26140,26045,25605,24714,24661,24470,24223,24648,24258,23990,23027,22166,21974,21951,22543,22860,23547,24809,26142,26161,
Y_12,27213,28140,28970,29896,30744,31692,32150,31283,30252,30135,29644,28956,28444,27412,27197,26217,25313,24831,24627,25011,25797,26946,26690,25939,26312,26471,26901,27061,27149,26968,26349,26112,26015,25541,24788,24767,24593,24370,24729,24325,24029,23057,22192,22058,22056,22619,22939,23642,24935,26217,
Y_13,27323,27136,27965,28905,29798,30673,31611,32045,31187,30226,30223,29482,28771,28237,27119,27127,26116,25268,24825,24618,25029,25723,26907,26658,25976,26473,26493,26977,27076,27115,26918,26320,26094,25999,25492,24888,24915,24671,24429,24751,24369,24066,23096,22297,22130,22146,22690,23070,23761,24962,
