annee,age,population
2014,0,745534
2014,1,761096
2014,2,768965
2014,3,789581
2014,4,787749
2014,5,794701
2014,6,789436
2014,7,804762
2014,8,787686
2014,9,785330
2014,10,781079
2014,11,786149
2014,12,800657
2014,13,815921
2014,14,779830
2014,15,777781
2014,16,763325
2014,17,771399
2014,18,760707
2014,19,737020
2014,20,726956
2014,21,757185
2014,22,759823
2014,23,766217
2014,24,762076
2014,25,766589
2014,26,763215
2014,27,775243
2014,28,772150
2014,29,768766
2014,30,760544
2014,31,810719
2014,32,820560
2014,33,833571
2014,34,789760
2014,35,776858
2014,36,784509
2014,37,765860
2014,38,789205
2014,39,835413
2014,40,885134
2014,41,905046
2014,42,899618
2014,43,884263
2014,44,871118
2014,45,863981
2014,46,860131
2014,47,880072
2014,48,883081
2014,49,893705
2014,50,883748
2014,51,851546
2014,52,855239
2014,53,850981
2014,54,846683
2014,55,828126
2014,56,825830
2014,57,818509
2014,58,809587
2014,59,809924
2014,60,792547
2014,61,805198
2014,62,786272
2014,63,815291
2014,64,799247
2014,65,795471
2014,66,779800
2014,67,738707
2014,68,553736
2014,69,539653
2014,70,524410
2014,71,483336
2014,72,430263
2014,73,445825
2014,74,464955
2014,75,455493
2014,76,443319
2014,77,438883
2014,78,424501
2014,79,423151
2014,80,397156
2014,81,398775
2014,82,374826
2014,83,357273
2014,84,318497
2014,85,294229
2014,86,264979
2014,87,241181
2014,88,216084
2014,89,184710
2014,90,160392
2014,91,136572
2014,92,114555
2014,93,93716
2014,94,44687
2014,95,29592
2014,96,20428
2014,97,13725
2014,98,11809
2014,99,13054
2014,100,21411
2015,0,738452
2015,1,747966
2015,2,763320
2015,3,774126
2015,4,796730
2015,5,793502
2015,6,799667
2015,7,794508
2015,8,810140
2015,9,791535
2015,10,789597
2015,11,785197
2015,12,788173
2015,13,804331
2015,14,819876
2015,15,784369
2015,16,781334
2015,17,764284
2015,18,768554
2015,19,756117
2015,20,728533
2015,21,719569
2015,22,748196
2015,23,750374
2015,24,760058
2015,25,759209
2015,26,764301
2015,27,765111
2015,28,777812
2015,29,778328
2015,30,774215
2015,31,766175
2015,32,815736
2015,33,824982
2015,34,837454
2015,35,793682
2015,36,779405
2015,37,788079
2015,38,768755
2015,39,791386
2015,40,835894
2015,41,885635
2015,42,904013
2015,43,899266
2015,44,883519
2015,45,870098
2015,46,862530
2015,47,859963
2015,48,878857
2015,49,881322
2015,50,890793
2015,51,880704
2015,52,848598
2015,53,850844
2015,54,848050
2015,55,842921
2015,56,824332
2015,57,820974
2015,58,814587
2015,59,806372
2015,60,804955
2015,61,787877
2015,62,798722
2015,63,779607
2015,64,808534
2015,65,793955
2015,66,788191
2015,67,772311
2015,68,729348
2015,69,547094
2015,70,533370
2015,71,517917
2015,72,476770
2015,73,423522
2015,74,438446
2015,75,455726
2015,76,445526
2015,77,431988
2015,78,427694
2015,79,411154
2015,80,408496
2015,81,382374
2015,82,380501
2015,83,355897
2015,84,337293
2015,85,297005
2015,86,272837
2015,87,243061
2015,88,218021
2015,89,192924
2015,90,163302
2015,91,138957
2015,92,116263
2015,93,96053
2015,94,76384
2015,95,35841
2015,96,23212
2015,97,15457
2015,98,9955
2015,99,8478
2015,100,23393
2016,0,719056
2016,1,741330
2016,2,750605
2016,3,768817
2016,4,779322
2016,5,802045
2016,6,796940
2016,7,802825
2016,8,797236
2016,9,812139
2016,10,793595
2016,11,790311
