Age,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y_LT1,31592,30219,30939,31789,32528,33420,33963,35602,35018,35439,36353,35555,34396,33630,33542,33345,32495,31963,30530,29401
Y_1,32064,31891,30522,31206,31934,32753,33690,34306,35708,35177,35706,36594,35826,34699,33969,33843,33853,32902,32356,30837
Y_2,33311,32398,32185,30823,31315,32047,32991,33933,34497,35929,35339,35847,36766,36053,34941,34321,34194,34281,33241,32660
Y_3,34452,33569,32755,32484,30930,31422,32243,33152,34099,34712,36135,35525,36079,36977,36293,35208,34641,34580,34586,33568
Y_4,35745,34730,33952,33035,32573,31177,31586,32354,33234,34296,34922,36328,35710,36316,37177,36544,35526,34977,34829,34875
Y_5,35685,36040,35026,34259,33154,32730,31366,31665,32439,33277,34473,35066,36457,35880,36518,37370,36796,35802,35195,35017
Y_6,35837,35927,36367,35303,34445,33345,32916,31562,31691,32453,33298,34605,35170,36625,36056,36715,37551,37069,36002,35386
Y_7,36771,36073,36188,36707,35465,34688,33539,32991,31724,31690,32468,33465,34727,35293,36765,36188,36924,37779,37287,36174
Y_8,37685,37118,36305,36443,36909,35623,34910,33684,33084,31761,31743,32557,33582,34857,35472,36934,36400,37145,37969,37438
Y_9,39201,37844,37454,36596,36496,37078,35795,35042,33871,33077,31862,31872,32652,33669,34992,35596,37125,36659,37331,38163
Y_10,39600,39341,38165,37757,36694,36568,37343,35915,35184,33985,33144,31933,31987,32768,33823,35182,35797,37329,36795,37514
Y_11,38841,39794,39549,38336,37986,36810,36680,37475,36008,35338,34061,33285,32046,32176,32833,33992,35370,35973,37514,36952
Y_12,39398,38961,40033,39676,38459,38190,36960,36775,37580,36087,35411,34192,33389,32175,32317,32987,34128,35585,36169,37676
Y_13,39524,39394,39055,40177,39741,38537,38413,37028,36858,37654,36193,35560,34322,33498,32334,32517,33174,34346,35794,36328
Y_14,38977,39445,39406,39110,40300,39785,38699,38593,37111,36883,37788,36258,35636,34474,33646,32441,32660,33430,34547,35967
Y_15,38149,38807,39447,39430,39187,40459,39961,38834,38859,37233,36945,37910,36420,35751,34611,33896,32626,32889,33690,34774
Y_16,38878,37989,38728,39442,39421,39246,40616,40115,39039,39025,37354,36971,37990,36508,35901,34798,34042,32803,33112,33862
Y_17,36696,38730,37960,38610,39432,39493,39403,40869,40271,39088,39238,37383,37056,38260,36698,36029,34987,34273,32992,33280
Y_18,35960,36866,38976,38232,38742,39780,40018,39992,41552,40876,39797,40243,37860,37735,38798,37276,36567,35480,34859,33742
Y_19,35854,37014,38316,39946,39717,40296,41670,42049,42384,44327,43550,43831,42615,40193,39983,40485,39625,38775,37728,38163
Y_20,37912,36561,37794,39133,40807,40802,41242,42616,43135,43812,46017,45036,44425,43816,41411,41497,41594,40862,40207,40536
Y_21,37896,37437,36106,37754,38722,40615,40641,40810,42120,43249,44037,45809,44830,43980,43682,41534,41365,41670,41122,41745
Y_22,34073,37248,36934,36064,37615,38682,40734,40423,40127,41688,42603,43404,44953,43934,42982,43268,40637,40747,41286,41974
Y_23,30413,33547,36789,36960,35961,37407,38512,40302,39570,39485,40992,41719,42622,44050,42929,42397,42517,39937,40384,41662
Y_24,30018,30299,33326,36921,36748,36069,37416,38196,39592,38899,38927,40204,41150,41798,43210,42388,41713,42090,39403,40640
